Date,Campaign ID,Campaign Name,Send Date,Send Time,Total Recipients,Open Rate,Click Rate,Unsubscribe Rate,Spam Complaints Rate,Total Opens,Unique Opens,Total Clicks,Unique Clicks,Total Unsubscribes,Bounces,Bounce Rate,Tags,Subject,Preview Text,List,Excluded List,Day of Week,Campaign Channel
April,01GYBNPAZRYKB7DPZ3724GGKDF,20230426_EDM_MAA FFW_LINEA DF_Payday Treat_EB,26/04/2023,1:00 PM,810,0.332298137,0.01863354,0,0,254,214,13,12,0,166,0.204938272,EB,Payday Just Got Better: Exclusive Offers Inside!,Enjoy Rebate up to Rp600.000 till 40% Off. T&C Apply.,20230426_EDM_MAA FFW_LINEA DF_Payday Treat_EB List,,Wednesday,Email
April,01GYXX36A0WGTRH59VNGFEG6CM,20230426_EDM_MAA FFW_LINEA DF_Payday Treat_NB,26/04/2023,1:00 PM,229323,0.474364337,0.002265283,0.001801929,0.000128709,87529,73711,495,352,289,73934,0.322401155,NB,Payday Just Got Better: Exclusive Offers Inside!,Enjoy Rebate up to Rp600.000 till 40% Off. T&C Apply.,20230426_EDM_MAA FFW_LINEA DF_Payday Treat_NB List,20230426_EDM_MAA FFW_LINEA DF_Payday Treat_EB List,Wednesday,Email
April,01GY79STA41PNT7QQ4JS25SYNZ,20230419_EDM_MAA FFW_LINEA DF_Eid Mubarak_EB,19/04/2023,5:00 PM,783,0.27027027,0.012870013,0.001287001,0,252,210,11,10,1,6,0.007662835,EB,Wondering Where to Find the Perfect Eid Gifts?Â ðŸ•Œ,Choose the one with Staccato and get rebate up to Rp600.000.,20230419_EDM_MAA FFW_LINEA DF_Eid Mubarak_EB List,,Wednesday,Email
April,01GY9KZH0BABQ93HYCC11X970Q,20230419_EDM_MAA FFW_LINEA DF_Eid Mubarak_NB,19/04/2023,5:00 PM,216394,0.379040541,0.001507908,0.001965416,0.000219417,94179,81192,453,323,450,2190,0.010120428,NB,Wondering Where to Find the Perfect Eid Gifts?Â ðŸ•Œ,Choose the one with Staccato and get rebate up to Rp600.000.,20230419_EDM_MAA FFW_LINEA DF_Eid Mubarak_NB List,20230419_EDM_MAA FFW_LINEA DF_Eid Mubarak_EB List,Wednesday,Email
April,01GXSRABPV8Y4WSH4MZW29Z74J,20230417_EDM_MAA FFW_LINEA DF_Birkenstock First Purchase_EB,17/04/2023,4:00 PM,545,0.322820037,0.014842301,0,0,217,174,14,8,0,6,0.011009174,EB,Take a Look at Birkenstock Must-have Styles!,Enjoy Extra Rp200.000 to Prepare for the Near Festivities ðŸ•Œ,20230417_EDM_MAA FFW_LINEA DF_Birkenstock First Purchase_EB_List,,Monday,Email
April,01GY6KXVT2JX35XTXM43H54GB1,20230417_EDM_MAA FFW_LINEA DF_Birkenstock First Purchase_NB,17/04/2023,4:00 PM,148700,0.506732721,0.001706402,0.001486221,0.00010321,86784,73646,334,248,223,3365,0.022629455,NB,Take a Look at Birkenstock Must-have Styles!,Enjoy Extra Rp200.000 to Prepare for the Near Festivities ðŸ•Œ,20230417_EDM_MAA FFW_LINEA DF_Birkenstock First Purchase_NB List,20230417_EDM_MAA FFW_LINEA DF_Birkenstock First Purchase_EB_List,Monday,Email
April,01GXSQQ5TREKMG98B5FSZ3WV36,20230415_EDM_MAA FFW_LINEA DF_Dr. Martens First Purchase_EB,15/04/2023,12:00 PM,687,0.290322581,0.019061584,0,0,228,198,17,13,0,5,0.00727802,EB,Get Your First Dr. Martens only on LINEASHOES.COM,"Enjoy voucher Rp300.000 special for you. Limited time only, grab it fast!",20230415_EDM_MAA FFW_LINEA DF_Dr. Martens First Purchase_EB List,,Saturday,Email
April,01GXZJG1WFQRYNQ823KRMAPNNR,20230415_EDM_MAA FFW_LINEA DF_Dr. Martens First Purchase_NB,15/04/2023,12:00 PM,148715,0.478131018,0.00248657,0.001310855,0.000101355,80993,70761,488,368,207,720,0.004841475,NB,Get Your First Dr. Martens only on LINEASHOES.COM,"Enjoy voucher Rp300.000 special for you. Limited time only, grab it fast!",20230415_EDM_MAA FFW_LINEA DF_Dr. Martens First Purchase_NB List,20230415_EDM_MAA FFW_LINEA DF_Dr. Martens First Purchase_EB List,Saturday,Email
April,01GXQG854N20F0ZV9MQ9TGC7H6,20230413_EDM_MAA FFW_LINEA DF_Ramadan Promo_EB,13/04/2023,5:00 PM,828,0.311965812,0.021367521,0.001424501,0,268,219,18,15,1,126,0.152173913,EB,Make This Ramadan a Moment Full of Love!,Pick your favorite one before it's too late ,20230413_EDM_MAA FFW_LINEA DF_Ramadan Promo_EB List,,Thursday,Email
April,01GXWG1V65RR3SHHZNWJJ23ANF,20230413_EDM_MAA FFW_LINEA DF_Ramadan Promo_NB,13/04/2023,5:00 PM,182728,0.527915886,0.002268794,0.001737248,0.00028522,94594,81440,479,350,275,28461,0.155756096,NB,Make This Ramadan a Moment Full of Love!,Pick your favorite one before it's too late ,20230413_EDM_MAA FFW_LINEA DF_Ramadan Promo_NB List,20230413_EDM_MAA FFW_LINEA DF_Ramadan Promo_EB List,Thursday,Email
April,01GX80J06VJC6WX4TA8RD5VHRB,20230406_EDM_MAA FFW_LINEA DF_All White_NB,06/04/2023,5:00 PM,100870,0.759586582,0.003203793,0.002410284,0.000188458,88402,76580,912,323,252,52,0.000515515,NB,Hop in for These Stunning Easter Looks,Get Rebate up to Rp600.000 and Extra Rp200.000. T&C Apply.,20230406_EDM_MAA FFW_LINEA DF_All White_NB List,"Control Group-LINEA DF-12 April 2023, 20230406_EDM_MAA FFW_LINEA DF_All White_EB List, Global Control Group - April 2023",Thursday,Email
April,01GX54NPMCRM389RY91DDJMZ0S,20230406_EDM_MAA FFW_LINEA DF_All White_EB,06/04/2023,5:00 PM,793,0.284450063,0.029077118,0.001264223,0,278,225,69,23,1,2,0.002522068,EB,Hop in for These Stunning Easter Looks,Get Rebate up to Rp600.000 and Extra Rp200.000. T&C Apply.,20230406_EDM_MAA FFW_LINEA DF_All White_EB List,"Control Group-LINEA DF-12 April 2023, Global Control Group - April 2023",Thursday,Email
